date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:06	632/632	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jul%202022%2014:13:40%20GMT	https://www.internationalshipcare.com/wp-content/plugins/transx-plugin/js/video-widget.js?ver=6.1.1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/transx-plugin/js/video-widget6a4d.js	(from https://www.internationalshipcare.com/)
12:45:06	1455/1455	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jul%202022%2014:13:40%20GMT	https://www.internationalshipcare.com/wp-content/plugins/transx-plugin/js/testimonials-widget.js?ver=6.1.1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/transx-plugin/js/testimonials-widget6a4d.js	(from https://www.internationalshipcare.com/)
12:45:07	4957/4957	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.6.8	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/js/webpack.runtime.mina4f3.js	(from https://www.internationalshipcare.com/)
12:45:07	32609/32609	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.6.8	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/js/frontend-modules.mina4f3.js	(from https://www.internationalshipcare.com/)
12:45:07	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://www.internationalshipcare.com/)
12:45:08	21440/21440	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Nov%202022%2002:22:32%20GMT	https://www.internationalshipcare.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-includes/js/jquery/ui/core.min3f14.js	(from https://www.internationalshipcare.com/)
12:45:08	40477/40477	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.6.8	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/js/frontend.mina4f3.js	(from https://www.internationalshipcare.com/)
12:45:08	18833/18833	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Nov%202022%2002:22:34%20GMT	https://www.internationalshipcare.com/wp-includes/js/underscore.min.js?ver=1.13.4	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-includes/js/underscore.mind584.js	(from https://www.internationalshipcare.com/)
12:45:08	1426/1426	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Nov%202022%2002:22:34%20GMT	https://www.internationalshipcare.com/wp-includes/js/wp-util.min.js?ver=6.1.1	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-includes/js/wp-util.min6a4d.js	(from https://www.internationalshipcare.com/)
12:45:09	754/754	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2027%20Sep%202022%2010:44:24%20GMT	https://www.internationalshipcare.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min.js?ver=1.7.6	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min41a5.js	(from https://www.internationalshipcare.com/)
